Date,Stock Ticker,Open Price,Close Price,High Price,Low Price,Trading Volume,Sentiment Score,Mentions Volume,News Sentiment,Volatility Index,5d MA,10d MA,20d MA,MACD,RSI,Momentum,Beta,Alpha,Sharpe Ratio,Day Return %,Week Return %,Month Return %,Sector
2020-01-03,AMZN,473.61,1043.89,1291.42,753.24,62177238,0.345,6273,-0.792,42.71,1412.39,357.67,1193.3,0.57,40.84,1.72,1.21,-0.0321,0.89,0.81,2.58,-5.65,Consumer
2020-01-03,GOOGL,581.22,532.06,193.89,493.09,16913132,0.177,5521,-0.899,47.42,912.45,1257.2,1057.83,-0.73,25.57,5.73,0.67,0.0183,-0.33,3.1,-1.06,8.06,Consumer
2020-01-03,MSFT,711.3,132.05,181.55,800.58,79580217,-0.553,9791,0.717,36.61,641.13,649.55,577.06,3.55,44.81,-6.02,1.85,0.0289,0.93,3.95,-7.97,-5.41,Finance
2020-01-03,NFLX,1188.51,592.19,430.91,603.84,41123521,0.694,9276,-0.9,19.39,1470.55,972.79,858.07,1.2,98.65,-1.79,0.73,0.0217,0.51,-0.91,7.91,-17.78,Consumer
2020-01-03,NVDA,339.53,1419.45,1318.41,868.24,36711373,-0.016,2464,-0.823,40.41,498.67,386.82,1395.11,-2.41,57.32,0.6,0.96,-0.008,2.56,1.21,0.91,12.03,Finance
2020-01-03,META,795.64,980.51,236.91,216.07,71848805,0.645,5616,-0.522,23.01,1148.25,992.32,611.99,-1.26,83.11,0.82,1.69,0.0468,2.09,4.51,-0.36,-17.46,Tech
2020-01-03,AMD,909.0,1023.64,1094.0,1495.64,78026750,-0.188,3405,0.775,27.62,859.4,1499.96,415.99,-3.5,26.33,4.37,1.71,-0.0056,1.8,1.72,7.59,19.85,Finance
2020-01-03,INTC,117.35,966.81,196.69,667.06,62942609,0.969,2315,-0.334,20.97,381.34,913.17,803.01,0.91,95.59,5.92,1.85,0.0481,0.31,4.01,-3.44,14.46,Consumer
2020-01-04,AAPL,930.94,338.54,953.55,554.93,84731471,0.541,225,-0.616,26.94,75.35,961.12,481.14,0.87,1.32,3.34,1.25,0.0418,-0.44,1.84,1.41,18.25,Consumer
2020-01-04,TSLA,297.26,656.58,566.3,1079.8,48961726,0.932,2720,0.431,37.17,606.46,211.7,429.63,3.7,93.02,-9.06,1.98,-0.0093,2.46,-4.32,7.65,13.33,Tech
2020-01-04,AMZN,144.32,1138.86,1193.93,577.65,24590236,0.029,4315,-0.362,14.42,844.14,634.9,1179.26,3.56,89.8,-2.98,1.27,-0.0339,0.37,-3.03,-3.14,-15.96,Finance
2020-01-04,GOOGL,1425.88,196.99,388.85,1258.25,66539051,-0.053,1551,-0.333,14.21,315.63,1298.05,1341.71,3.37,6.74,1.45,1.69,-0.041,1.37,4.4,5.87,-3.25,Tech
2020-01-04,MSFT,1450.17,452.89,976.84,708.69,9557770,0.511,9300,0.478,37.35,651.1,1259.69,778.36,0.49,60.48,0.16,1.04,0.0031,1.36,3.44,0.29,16.32,Tech
2020-01-04,NFLX,1222.18,450.66,391.74,1093.36,44544709,0.761,9505,-0.497,41.18,942.03,807.48,1180.69,1.52,78.52,-9.1,1.91,0.0263,2.71,-0.77,-6.84,-16.36,Healthcare
2020-01-04,NVDA,491.69,676.43,1084.81,205.81,50065485,0.928,5647,0.794,32.06,1086.64,1360.01,321.28,2.76,40.38,9.61,1.53,-0.0324,-0.31,-3.39,-9.19,-7.79,Healthcare
2020-01-04,META,191.62,1471.53,1316.83,1276.87,12481567,-0.351,6803,0.123,17.27,126.48,257.26,844.08,-4.08,9.19,9.12,0.62,-0.0182,2.09,-3.43,4.53,-1.32,Consumer
2020-01-04,AMD,1042.14,147.88,233.86,1116.79,8467870,0.597,7469,0.076,27.23,1013.06,1004.37,972.49,-1.99,82.94,5.48,0.66,0.0131,0.85,4.05,-4.76,-2.0,Finance
2020-01-04,INTC,688.22,802.12,1306.56,356.99,45630474,-0.579,3230,-0.47,40.33,132.17,410.88,761.46,-3.31,46.65,-8.89,1.84,-0.0039,-0.3,-3.34,6.31,17.76,Tech
2020-01-05,AAPL,226.96,310.08,910.68,260.66,37027733,0.091,796,0.67,37.43,90.87,986.06,219.48,0.11,26.33,-1.4,1.71,0.0104,2.34,-1.14,-6.22,-4.2,Finance
2020-01-05,TSLA,768.01,1457.48,234.31,508.62,12145841,-0.64,2370,0.145,14.39,271.0,176.73,1114.45,3.38,7.09,-1.8,1.0,0.0176,2.28,4.01,1.36,-10.44,Consumer
2020-01-05,AMZN,99.86,214.29,669.94,1465.3,11301598,-0.305,9807,-0.689,48.77,997.78,1418.23,1266.66,-2.69,64.02,1.16,1.28,-0.0119,-0.84,-4.67,-8.13,-2.2,Healthcare
2020-01-05,GOOGL,1368.51,635.22,283.25,422.41,87775968,0.863,9326,-0.587,18.93,126.59,1190.18,971.08,2.31,4.23,-8.88,1.78,0.0286,1.84,1.31,4.72,-4.16,Finance
2020-01-05,MSFT,425.23,1119.93,1065.5,711.38,31115712,-0.708,9827,-0.063,18.82,80.3,341.39,295.28,-0.94,79.11,-1.53,0.66,0.0203,-0.39,-1.49,5.31,4.93,Finance
2020-01-05,NFLX,1010.66,1071.6,1150.36,93.53,89421291,0.265,9105,0.559,28.39,221.04,974.05,158.1,4.03,77.08,5.16,0.71,0.0188,1.44,-3.92,8.33,19.77,Tech
2020-01-05,NVDA,501.98,662.96,203.4,625.98,55304270,0.186,8601,0.879,23.09,1427.1,1150.76,487.33,1.27,32.29,9.96,1.57,-0.0351,1.58,0.68,1.23,2.06,Healthcare
2020-01-05,META,804.1,552.46,783.9,878.41,8936154,-0.759,9303,0.327,49.36,1365.55,353.7,103.64,4.77,47.23,1.91,0.62,-0.0026,1.66,-0.15,-7.87,-1.51,Tech
2020-01-05,AMD,842.73,626.54,1231.21,1432.03,76471333,-0.348,9310,0.012,13.06,175.38,185.33,1266.87,-2.54,66.92,8.81,1.03,0.0077,-0.52,-4.01,6.56,3.75,Healthcare
2020-01-05,INTC,318.04,433.2,1407.44,799.27,53801967,0.126,3511,-0.499,22.26,490.82,560.08,1069.44,4.24,95.91,9.97,0.88,-0.0274,1.39,-2.33,-3.72,19.19,Tech
2020-01-06,AAPL,1455.9,347.73,794.6,1237.71,49206874,-0.626,3818,0.346,25.31,1423.57,246.84,867.35,-1.43,52.02,-1.3,1.64,0.0259,-0.6,2.4,7.99,4.99,Finance
2020-01-06,TSLA,1173.94,750.41,1427.9,843.34,84805163,0.601,6817,0.964,29.74,191.65,870.28,1339.97,1.22,99.67,3.37,0.5,-0.0379,1.98,2.56,9.56,-15.08,Tech
2020-01-06,AMZN,1412.27,439.37,826.75,109.14,22613579,0.944,5020,-0.048,10.66,187.16,664.97,209.64,-3.25,32.51,-5.74,0.67,-0.035,-0.75,0.99,-7.35,16.51,Tech
2020-01-06,GOOGL,1347.5,466.82,621.58,506.76,32533122,-0.57,2144,-0.676,13.29,174.71,720.52,1085.97,2.6,52.65,-0.49,0.65,-0.0087,2.03,-3.9,-8.34,3.63,Healthcare
2020-01-06,MSFT,916.95,1002.3,1279.89,884.55,11488349,-0.626,1216,-0.793,20.31,1465.89,837.15,262.62,4.78,11.56,-8.43,0.98,-0.0365,2.53,3.53,7.95,-13.68,Healthcare
2020-01-06,NFLX,1386.72,1454.38,764.82,1428.36,92656406,-0.09,1256,-0.461,32.16,1127.51,1473.98,138.34,2.87,55.64,-9.42,0.85,-0.0488,0.19,-3.27,7.98,-10.78,Finance
2020-01-06,NVDA,178.31,925.27,734.26,1295.74,84069121,0.496,1088,0.139,40.71,361.0,1199.32,242.71,1.16,53.63,7.86,0.84,-0.0089,2.11,2.21,1.7,-15.18,Consumer
2020-01-06,META,334.18,161.62,760.95,381.12,40900806,-0.437,5687,0.894,37.46,116.62,962.73,1428.86,-0.52,84.88,7.17,1.06,0.0149,0.67,-4.57,7.76,18.43,Consumer
2020-01-06,AMD,115.58,159.6,1277.84,369.16,76505183,-0.96,1928,-0.402,32.68,1449.6,577.37,688.63,-1.55,99.66,-3.76,0.82,-0.0005,2.19,-1.68,8.61,-17.17,Finance
2020-01-06,INTC,521.73,1429.56,1256.32,341.7,60986804,0.082,7972,-0.389,25.89,666.96,89.25,121.04,-0.81,98.62,-0.86,0.66,-0.0448,1.75,-0.22,1.11,10.58,Healthcare
2020-01-07,AAPL,613.58,481.07,635.1,1387.62,89401958,0.913,6188,-0.038,44.83,917.64,218.97,896.27,-1.72,23.63,-0.13,1.37,-0.0268,0.16,-4.72,3.73,-6.49,Tech
2020-01-07,TSLA,443.46,183.5,533.28,1286.37,3815839,-0.217,2445,0.837,28.39,454.83,1109.76,339.59,3.33,33.84,0.41,1.93,0.0024,-0.23,-3.28,2.27,-16.76,Finance
2020-01-07,AMZN,1251.67,918.61,763.3,1173.58,48416234,-0.16,9376,-0.162,21.97,1149.62,585.35,59.91,3.93,27.47,-7.31,1.41,0.0238,2.66,-1.81,-6.51,-2.65,Healthcare
2020-01-07,GOOGL,567.29,954.29,880.52,619.47,68859370,0.938,3105,-0.554,35.17,335.36,534.93,1149.66,4.5,19.97,5.5,1.64,0.0294,2.36,4.83,-1.28,-19.99,Finance
2020-01-07,MSFT,457.36,990.33,395.59,781.35,34034114,0.389,4535,-0.674,37.68,1191.02,1339.02,274.55,-0.82,15.01,-3.04,1.96,0.0019,1.64,2.79,3.63,12.69,Consumer
2020-01-07,NFLX,836.91,437.73,1201.23,723.28,72562157,0.438,6728,-0.086,25.94,384.37,752.54,1416.61,0.46,51.17,-9.37,0.73,0.0146,0.4,3.41,2.21,1.68,Consumer
2020-01-07,NVDA,254.34,71.91,755.4,417.43,8671711,0.125,176,0.601,11.13,191.97,1354.39,909.56,0.77,87.25,3.53,1.19,0.0403,1.04,1.68,-5.7,-1.93,Consumer
2020-01-07,META,1213.19,1449.27,534.37,782.29,52204650,0.949,5852,-0.417,13.77,744.29,1335.63,176.14,1.51,58.99,6.6,1.37,-0.0435,1.23,-2.08,8.2,13.17,Healthcare
2020-01-07,AMD,158.1,413.79,204.89,94.22,91298851,0.378,2662,0.025,43.82,1229.16,166.26,365.85,-4.98,87.27,8.36,0.98,-0.0401,-0.66,2.09,5.68,0.77,Consumer
2020-01-07,INTC,1480.99,1030.24,396.33,241.13,63240239,0.79,1672,0.206,12.26,608.05,1420.78,935.72,3.43,95.95,3.49,1.42,-0.0042,2.89,1.74,-8.63,3.81,Finance
2020-01-08,AAPL,1169.75,1074.61,1426.46,1335.55,97772866,0.399,7187,-0.099,33.68,91.87,161.58,540.26,-2.32,38.31,-6.17,1.44,0.011,-0.63,1.1,-3.12,12.59,Healthcare
2020-01-08,TSLA,338.14,934.51,492.39,1139.94,57243273,0.47,6070,-0.617,17.35,852.3,1447.08,821.61,-0.28,83.57,1.8,1.76,-0.0495,1.89,-2.02,9.91,8.82,Tech
2020-01-08,AMZN,58.01,503.72,294.85,663.16,16851892,-0.419,8052,0.843,19.16,1036.68,706.29,1209.29,3.42,5.23,8.24,1.75,-0.0047,0.97,-2.37,-2.2,6.36,Tech
2020-01-08,GOOGL,1232.42,443.09,717.98,799.87,63003006,-0.393,6709,0.131,20.93,1124.01,1153.25,1199.27,4.97,48.11,-2.99,0.71,-0.0327,2.04,-1.64,3.27,8.17,Healthcare
2020-01-08,MSFT,1074.94,916.62,495.28,586.5,69362023,0.566,8156,0.458,11.53,632.79,1073.91,1062.08,2.95,36.83,9.07,0.75,0.0145,0.04,-1.88,-7.99,-9.48,Finance
2020-01-08,NFLX,1107.06,1305.84,100.98,1124.13,75370833,-0.407,3211,0.272,17.09,190.68,801.82,1334.78,-4.75,20.49,-8.05,0.83,-0.0232,0.58,-4.22,-3.78,-15.31,Healthcare
2020-01-08,NVDA,1168.34,1422.76,518.56,1187.07,31042249,0.126,2837,0.996,36.02,897.27,948.21,339.07,-1.31,43.84,4.56,0.89,0.0402,1.1,3.02,7.64,4.91,Tech
2020-01-08,META,157.36,203.56,838.96,1156.76,34749939,-0.501,9644,-0.087,29.95,527.84,1427.38,307.0,-2.53,44.37,-7.6,1.35,-0.0436,-0.52,-1.31,0.21,-11.04,Consumer
2020-01-08,AMD,569.78,274.5,849.98,1097.79,42843501,0.634,5504,-0.15,41.89,1422.99,1394.66,1209.06,4.64,80.85,5.98,0.99,0.0309,2.41,2.07,6.5,-18.1,Consumer
2020-01-08,INTC,218.01,1419.87,567.01,346.53,43408758,-0.779,9238,-0.28,12.45,778.93,998.77,515.29,-2.36,86.89,-8.05,1.93,-0.0108,2.97,-2.2,-9.85,-9.83,Consumer
2020-01-09,AAPL,1301.5,1117.98,698.59,540.06,33445411,0.659,4749,-0.277,45.56,734.79,1003.69,792.66,4.43,65.7,-3.49,0.68,0.0357,0.67,1.02,3.32,8.81,Consumer
2020-01-09,TSLA,953.78,1330.34,1450.0,731.28,75414490,0.205,3968,-0.448,49.86,498.35,408.06,1128.73,4.38,63.34,5.54,0.87,0.0315,0.51,-4.65,-4.0,8.34,Finance
2020-01-09,AMZN,529.8,343.82,597.16,529.65,9340133,-0.626,3237,0.961,10.63,541.24,1251.5,624.1,3.39,11.02,-0.8,1.8,-0.0261,1.38,-3.94,7.22,16.13,Consumer
2020-01-09,GOOGL,142.16,902.0,424.43,1144.66,54303061,0.084,7924,0.742,48.71,793.49,967.27,238.74,-4.02,57.53,7.65,1.38,-0.0449,1.75,-1.35,8.88,7.01,Tech
2020-01-09,MSFT,500.92,1066.65,403.03,527.56,64571481,-0.435,6236,-0.367,19.43,494.66,1248.06,1035.21,-4.98,27.44,-1.97,1.32,0.0196,2.47,-2.31,3.75,-2.41,Finance
2020-01-09,NFLX,521.52,1036.16,713.76,250.44,51438596,-0.353,7899,-0.39,37.7,1343.84,1003.89,1234.88,2.94,29.48,9.9,1.39,-0.0296,0.49,-1.47,-7.08,-9.58,Finance
2020-01-09,NVDA,1107.93,641.82,1151.3,628.61,90450914,-0.297,3586,-0.793,21.7,686.58,484.01,68.56,3.43,9.48,-9.63,0.88,0.0431,2.06,4.31,-0.64,10.34,Healthcare
2020-01-09,META,974.46,72.32,348.68,1470.88,70581249,-0.873,1102,0.754,30.87,473.43,324.75,865.7,4.62,63.59,3.92,1.64,-0.0433,-0.04,-4.26,-0.71,-3.52,Healthcare
2020-01-09,AMD,1336.46,895.24,1078.48,377.53,2637346,0.972,9111,-0.256,30.42,275.32,161.6,730.64,-2.82,58.38,8.32,1.24,-0.0176,1.72,-0.37,6.61,12.62,Tech
2020-01-09,INTC,734.71,417.0,80.67,937.63,94654600,-0.937,8714,0.145,24.44,1024.91,899.69,426.41,2.33,22.03,0.72,0.56,-0.0487,0.87,-3.02,-0.79,14.07,Finance
2020-01-10,AAPL,223.41,702.87,657.45,677.81,10000050,0.325,8863,0.801,38.7,87.39,461.87,283.49,0.19,26.3,9.77,0.77,-0.0183,1.65,-1.44,-3.35,-5.94,Tech
2020-01-10,TSLA,1084.2,1438.49,1175.0,152.99,3315632,-0.258,8006,-0.184,33.99,702.49,964.24,322.65,-1.72,77.3,4.16,1.72,0.0041,0.52,1.77,2.23,-6.25,Tech
2020-01-10,AMZN,1153.14,628.6,541.16,757.42,95887825,0.292,5459,0.614,30.33,847.68,135.05,1101.21,1.06,79.29,-1.41,1.02,0.0155,0.18,4.73,2.94,16.55,Healthcare
2020-01-10,GOOGL,863.85,1267.71,867.42,1068.14,78229738,-0.288,4630,-0.139,49.31,542.69,594.71,827.48,0.48,49.31,0.31,1.66,0.0226,0.94,1.95,6.2,-4.11,Finance
2020-01-10,MSFT,1167.9,323.38,347.22,794.17,82149707,0.348,9715,0.402,47.6,1137.24,427.8,1472.67,-2.08,14.9,7.55,1.5,0.0333,2.58,3.85,8.01,8.27,Healthcare
2020-01-10,NFLX,766.0,1025.07,1125.89,1314.55,37470993,0.458,1733,-0.138,48.22,1029.71,586.98,402.68,-2.32,5.56,9.15,0.95,-0.0389,1.7,-3.53,7.8,-4.89,Consumer
2020-01-10,NVDA,807.96,1466.66,125.8,468.96,85581349,0.381,6769,-0.214,45.25,1458.53,128.71,1437.51,-0.13,27.15,1.12,0.69,0.0262,1.45,-3.19,2.53,9.25,Tech
2020-01-10,META,669.93,197.74,1286.19,175.06,52357574,-0.772,1853,0.981,20.21,787.71,1100.06,796.91,-0.26,73.12,-3.86,1.71,-0.0222,1.88,3.77,0.49,-13.06,Consumer
2020-01-10,AMD,86.86,62.06,337.38,1408.02,46284320,0.314,8759,0.225,24.0,829.83,219.21,261.74,-1.98,60.08,-5.21,1.46,-0.0362,1.92,1.08,6.02,13.44,Tech
2020-01-10,INTC,206.44,678.7,1317.88,598.38,17039813,-0.44,6453,-0.265,19.24,406.47,70.88,264.86,-2.36,71.81,-0.46,0.95,-0.0234,0.18,2.92,-3.86,19.33,Finance
2020-01-11,AAPL,95.57,184.31,561.17,885.79,25764204,-0.942,9998,-0.484,49.45,608.95,1422.12,932.42,4.54,47.17,-4.07,1.28,0.0358,-0.07,-2.77,5.16,10.63,Finance
2020-01-11,TSLA,972.8,1135.16,1097.89,1198.4,38916542,-0.17,8364,-0.92,16.11,88.95,329.67,1255.56,3.62,75.47,-1.58,1.42,0.0127,1.04,-1.51,0.12,-5.64,Tech
2020-01-11,AMZN,505.82,1376.1,512.88,520.25,51112341,-0.133,246,0.413,24.66,1049.45,1250.69,1134.18,3.17,48.08,6.69,0.5,0.0097,-0.41,-4.19,-7.53,2.21,Tech
2020-01-11,GOOGL,787.43,679.33,1363.57,1088.44,88270834,-0.066,7607,-0.256,17.96,501.85,1448.48,1000.66,-2.86,8.4,-0.56,1.51,0.0085,0.9,3.96,5.06,6.78,Healthcare
2020-01-11,MSFT,1365.97,425.13,233.62,246.36,35196232,0.41,416,0.643,18.94,833.53,824.48,299.56,-3.11,7.99,2.82,1.48,-0.0091,1.77,4.56,2.97,-12.29,Tech
2020-01-11,NFLX,411.47,679.88,308.85,472.38,62084310,-0.382,8897,-0.272,19.88,419.74,812.87,207.09,3.09,83.15,-8.2,0.62,-0.0083,-0.97,3.57,-8.35,-8.68,Consumer
2020-01-11,NVDA,645.06,1099.0,764.89,259.83,2413387,-0.369,8866,-0.253,35.59,950.5,582.76,50.36,-3.15,62.96,5.24,1.68,-0.0352,-0.56,-0.63,-0.99,12.07,Finance
2020-01-11,META,1145.55,63.13,168.81,1226.28,23481011,-0.879,1277,0.558,13.04,698.99,667.11,197.6,0.04,27.91,-0.34,1.74,-0.0167,2.85,-1.59,-0.27,17.81,Tech
2020-01-11,AMD,381.76,904.71,334.17,372.84,8972439,0.374,3522,-0.021,32.9,748.7,749.01,1161.23,-2.79,75.72,-2.78,0.94,0.0012,2.71,-0.37,3.07,-9.11,Finance
2020-01-11,INTC,161.62,939.27,1418.46,1090.24,25479549,0.136,2694,0.77,42.77,1416.78,270.54,1348.11,-1.22,13.57,2.22,0.74,0.0106,0.67,1.38,3.57,-14.1,Tech
2020-01-12,AAPL,470.14,974.65,1465.91,1417.78,72385841,-0.301,8603,0.18,40.66,1073.93,578.87,398.51,3.53,64.52,-7.96,1.53,-0.0428,1.36,-0.68,-6.19,19.26,Healthcare
2020-01-12,TSLA,283.77,400.93,595.58,815.27,17088423,0.41,864,-0.519,16.05,429.75,1233.36,1202.6,3.91,98.95,-1.72,0.69,-0.0166,-0.38,-0.78,-9.33,-7.2,Consumer
2020-01-12,AMZN,1398.06,1085.38,1388.76,833.04,64833932,0.075,7936,0.137,46.59,780.69,314.48,338.33,4.97,15.0,6.22,1.79,-0.0161,0.32,-0.69,5.88,11.14,Consumer
2020-01-12,GOOGL,1221.77,182.52,840.0,718.5,62076519,-0.062,6377,-0.992,40.8,726.68,1108.29,411.44,4.44,14.19,-4.76,1.22,0.0015,2.17,2.45,9.63,-4.84,Healthcare
2020-01-12,MSFT,968.44,338.94,441.13,522.54,5833461,0.023,535,-0.375,10.21,1202.83,994.8,375.03,1.71,46.78,8.28,1.86,0.021,2.42,2.87,8.81,17.96,Healthcare
2020-01-12,NFLX,1313.62,1322.33,1068.48,739.7,80087081,0.273,3451,-0.584,39.49,1258.36,133.08,125.01,-0.68,64.27,2.07,1.46,0.0135,0.62,3.71,0.02,3.98,Healthcare
2020-01-12,NVDA,1215.32,1121.15,1005.41,924.07,3532230,0.32,3030,0.308,39.5,460.99,82.52,331.39,-4.42,2.65,0.82,0.93,0.0071,0.24,-2.57,0.58,-3.4,Finance
2020-01-12,META,320.53,69.93,1484.23,1479.69,97750864,-0.422,234,-0.728,29.87,1240.67,561.17,591.64,1.08,49.97,-2.01,1.2,-0.0209,1.73,-3.42,8.61,-12.87,Consumer
2020-01-12,AMD,1344.21,410.15,434.32,1409.76,88921782,-0.719,4718,-0.42,11.84,310.28,1053.65,637.93,-2.89,8.32,4.84,1.29,0.0339,1.87,-1.55,0.88,-9.78,Finance
2020-01-12,INTC,832.05,360.89,1024.49,1300.12,13414333,-0.687,9095,-0.337,33.2,1156.02,529.11,498.73,3.5,24.13,1.29,1.72,0.0285,2.94,-0.8,-4.45,14.28,Tech
2020-01-13,AAPL,1220.79,442.67,125.43,1339.24,61190231,0.279,2466,-0.993,40.63,410.74,1018.21,796.35,0.49,71.24,5.93,1.79,-0.0316,1.79,2.02,3.55,-17.72,Tech
2020-01-13,TSLA,1349.33,408.96,214.79,728.38,51813185,0.746,9768,-0.906,20.83,482.0,1014.91,598.1,2.34,73.89,-3.37,1.52,0.0155,-0.04,2.58,-0.46,-13.73,Healthcare
2020-01-13,AMZN,511.11,140.66,55.68,1003.29,33918012,-0.181,3515,-0.378,36.68,1286.08,1219.5,1457.03,1.73,72.97,4.04,0.94,0.0407,-0.76,4.84,5.7,-12.29,Finance
2020-01-13,GOOGL,209.58,715.46,1499.22,1347.85,98118299,-0.661,1106,-0.555,24.16,659.11,194.25,1220.66,-1.53,6.51,8.87,1.29,-0.0064,0.03,-1.22,5.67,-17.17,Healthcare
2020-01-13,MSFT,380.51,1112.46,1213.3,619.78,11475474,0.513,8008,-0.766,32.95,1486.32,886.84,1399.92,2.59,78.68,-4.4,0.7,0.0425,-0.09,-0.97,8.72,7.43,Finance
2020-01-13,NFLX,669.31,929.76,1190.75,1444.56,31807200,0.665,9284,-0.692,25.38,270.32,140.62,858.27,3.43,43.22,9.62,0.85,-0.0478,-0.63,0.42,-7.24,19.25,Healthcare
2020-01-13,NVDA,1236.12,1025.66,789.1,652.89,16831188,0.761,4791,0.671,22.15,721.86,305.12,1033.59,2.44,47.53,-1.79,0.95,0.0016,0.78,3.2,0.43,-14.43,Tech
2020-01-13,META,1298.06,167.67,485.1,921.57,13978292,0.214,7769,0.367,44.24,1112.05,521.98,291.68,2.77,41.97,-9.23,0.61,-0.0244,0.15,1.61,5.72,11.96,Consumer
